Company_ID,MDnA_Text,Risk_Disclosure_Text,Chairman_Message,Financial_Term,Governance_Term,Sentiment_Word,Risk_Term,Strategy_Term,Fraud_Label
51,Liquidity pressure due to increased operational costs.,Operational and compliance risks may affect outcomes.,Future outlook is cautiously optimistic.,debt,board,declining,high risk,cost-cutting,No Fraud
52,Unexpected expenses impacted operational margins.,Operational and compliance risks may affect outcomes.,Resilience guided our strategy through challenges.,revenue,board,weak,low risk,expansion,No Fraud
53,Liquidity pressure due to increased operational costs.,Internal control weaknesses exist in reporting.,Focus remains on ethical conduct and stakeholder trust.,assets,board,strong,uncertain,innovation,No Fraud
54,Unexpected expenses impacted operational margins.,Management acknowledges compliance challenges.,Resilience guided our strategy through challenges.,liabilities,board,volatile,high risk,expansion,No Fraud
55,Revenue growth achieved through strategic initiatives.,Internal control weaknesses exist in reporting.,Future outlook is cautiously optimistic.,debt,oversight,improving,volatile,innovation,No Fraud
56,The company reported stable performance this year.,Operational and compliance risks may affect outcomes.,"Acknowledging setbacks, corrective actions implemented.",liabilities,board,strong,medium risk,restructuring,No Fraud
57,The company reported stable performance this year.,Operational and compliance risks may affect outcomes.,Focus remains on ethical conduct and stakeholder trust.,cash flow,audit,stable,uncertain,restructuring,Fraud
58,Revenue growth achieved through strategic initiatives.,Debt obligations create financial uncertainty.,Future outlook is cautiously optimistic.,debt,oversight,stable,medium risk,cost-cutting,Fraud
59,Liquidity pressure due to increased operational costs.,Management acknowledges compliance challenges.,Focus remains on ethical conduct and stakeholder trust.,assets,committee,improving,critical,cost-cutting,No Fraud
60,The company reported stable performance this year.,Debt obligations create financial uncertainty.,Resilience guided our strategy through challenges.,liabilities,compliance,declining,medium risk,expansion,No Fraud
61,Revenue growth achieved through strategic initiatives.,Debt obligations create financial uncertainty.,Future outlook is cautiously optimistic.,assets,audit,weak,low risk,innovation,Fraud
62,The company reported stable performance this year.,Internal control weaknesses exist in reporting.,Resilience guided our strategy through challenges.,assets,compliance,improving,volatile,diversification,Fraud
63,Management highlighted governance improvements.,Debt obligations create financial uncertainty.,Focus remains on ethical conduct and stakeholder trust.,assets,committee,weak,high risk,restructuring,Fraud
64,Liquidity pressure due to increased operational costs.,Market volatility poses potential risks.,We remain committed to transparency and value creation.,assets,committee,improving,volatile,innovation,No Fraud
65,Management highlighted governance improvements.,Market volatility poses potential risks.,"Acknowledging setbacks, corrective actions implemented.",liabilities,board,volatile,uncertain,restructuring,No Fraud
66,Liquidity pressure due to increased operational costs.,Debt obligations create financial uncertainty.,Resilience guided our strategy through challenges.,liabilities,board,volatile,high risk,cost-cutting,Fraud
67,Revenue growth achieved through strategic initiatives.,Management acknowledges compliance challenges.,Focus remains on ethical conduct and stakeholder trust.,revenue,committee,strong,low risk,diversification,Fraud
68,Liquidity pressure due to increased operational costs.,Debt obligations create financial uncertainty.,Future outlook is cautiously optimistic.,assets,oversight,weak,uncertain,innovation,No Fraud
69,Liquidity pressure due to increased operational costs.,Operational and compliance risks may affect outcomes.,Resilience guided our strategy through challenges.,revenue,oversight,weak,uncertain,restructuring,Fraud
70,Revenue growth achieved through strategic initiatives.,Operational and compliance risks may affect outcomes.,Focus remains on ethical conduct and stakeholder trust.,debt,audit,strong,medium risk,cost-cutting,No Fraud
71,Liquidity pressure due to increased operational costs.,Management acknowledges compliance challenges.,We remain committed to transparency and value creation.,debt,compliance,stable,high risk,diversification,No Fraud
72,The company reported stable performance this year.,Internal control weaknesses exist in reporting.,Resilience guided our strategy through challenges.,revenue,oversight,stable,medium risk,cost-cutting,No Fraud
73,Unexpected expenses impacted operational margins.,Market volatility poses potential risks.,Focus remains on ethical conduct and stakeholder trust.,profit,oversight,weak,high risk,diversification,No Fraud
74,Revenue growth achieved through strategic initiatives.,Market volatility poses potential risks.,Resilience guided our strategy through challenges.,assets,committee,strong,critical,innovation,No Fraud
75,Unexpected expenses impacted operational margins.,Internal control weaknesses exist in reporting.,Focus remains on ethical conduct and stakeholder trust.,assets,compliance,volatile,uncertain,innovation,Fraud
76,Revenue growth achieved through strategic initiatives.,Debt obligations create financial uncertainty.,"Acknowledging setbacks, corrective actions implemented.",debt,committee,declining,low risk,innovation,No Fraud
77,Revenue growth achieved through strategic initiatives.,Management acknowledges compliance challenges.,Focus remains on ethical conduct and stakeholder trust.,liabilities,compliance,stable,low risk,restructuring,Fraud
78,Management highlighted governance improvements.,Debt obligations create financial uncertainty.,Focus remains on ethical conduct and stakeholder trust.,revenue,committee,strong,critical,diversification,Fraud
79,Management highlighted governance improvements.,Internal control weaknesses exist in reporting.,Focus remains on ethical conduct and stakeholder trust.,assets,committee,volatile,medium risk,restructuring,No Fraud
80,Liquidity pressure due to increased operational costs.,Management acknowledges compliance challenges.,Future outlook is cautiously optimistic.,debt,board,weak,high risk,innovation,No Fraud
81,Unexpected expenses impacted operational margins.,Market volatility poses potential risks.,Focus remains on ethical conduct and stakeholder trust.,assets,board,volatile,medium risk,diversification,No Fraud
82,Revenue growth achieved through strategic initiatives.,Market volatility poses potential risks.,"Acknowledging setbacks, corrective actions implemented.",liabilities,oversight,weak,high risk,expansion,No Fraud
83,Liquidity pressure due to increased operational costs.,Debt obligations create financial uncertainty.,We remain committed to transparency and value creation.,revenue,board,strong,low risk,cost-cutting,No Fraud
84,The company reported stable performance this year.,Operational and compliance risks may affect outcomes.,"Acknowledging setbacks, corrective actions implemented.",profit,oversight,declining,uncertain,expansion,No Fraud
85,Revenue growth achieved through strategic initiatives.,Internal control weaknesses exist in reporting.,We remain committed to transparency and value creation.,cash flow,oversight,stable,high risk,diversification,No Fraud
86,The company reported stable performance this year.,Internal control weaknesses exist in reporting.,Future outlook is cautiously optimistic.,debt,compliance,declining,low risk,innovation,No Fraud
87,Liquidity pressure due to increased operational costs.,Debt obligations create financial uncertainty.,Future outlook is cautiously optimistic.,debt,oversight,improving,critical,innovation,No Fraud
88,Management highlighted governance improvements.,Internal control weaknesses exist in reporting.,Future outlook is cautiously optimistic.,cash flow,oversight,stable,uncertain,diversification,No Fraud
89,Liquidity pressure due to increased operational costs.,Market volatility poses potential risks.,We remain committed to transparency and value creation.,cash flow,oversight,strong,uncertain,cost-cutting,Fraud
90,The company reported stable performance this year.,Debt obligations create financial uncertainty.,"Acknowledging setbacks, corrective actions implemented.",debt,board,strong,volatile,innovation,No Fraud
91,Revenue growth achieved through strategic initiatives.,Market volatility poses potential risks.,Resilience guided our strategy through challenges.,profit,board,weak,medium risk,expansion,Fraud
92,Unexpected expenses impacted operational margins.,Management acknowledges compliance challenges.,Future outlook is cautiously optimistic.,debt,audit,volatile,critical,cost-cutting,Fraud
93,Liquidity pressure due to increased operational costs.,Management acknowledges compliance challenges.,We remain committed to transparency and value creation.,cash flow,committee,stable,low risk,innovation,Fraud
94,Revenue growth achieved through strategic initiatives.,Operational and compliance risks may affect outcomes.,"Acknowledging setbacks, corrective actions implemented.",assets,compliance,improving,medium risk,diversification,No Fraud
95,Management highlighted governance improvements.,Internal control weaknesses exist in reporting.,Future outlook is cautiously optimistic.,revenue,audit,volatile,high risk,expansion,No Fraud
96,Management highlighted governance improvements.,Management acknowledges compliance challenges.,Focus remains on ethical conduct and stakeholder trust.,liabilities,oversight,strong,high risk,diversification,No Fraud
97,Management highlighted governance improvements.,Internal control weaknesses exist in reporting.,"Acknowledging setbacks, corrective actions implemented.",assets,oversight,declining,uncertain,innovation,No Fraud
98,Revenue growth achieved through strategic initiatives.,Market volatility poses potential risks.,We remain committed to transparency and value creation.,profit,audit,improving,low risk,cost-cutting,Fraud
99,Liquidity pressure due to increased operational costs.,Debt obligations create financial uncertainty.,Resilience guided our strategy through challenges.,debt,compliance,improving,low risk,innovation,No Fraud
100,Revenue growth achieved through strategic initiatives.,Management acknowledges compliance challenges.,Resilience guided our strategy through challenges.,liabilities,oversight,weak,medium risk,innovation,Fraud
101,Revenue growth achieved through strategic initiatives.,Debt obligations create financial uncertainty.,Resilience guided our strategy through challenges.,debt,oversight,stable,medium risk,restructuring,No Fraud
102,Unexpected expenses impacted operational margins.,Management acknowledges compliance challenges.,Focus remains on ethical conduct and stakeholder trust.,revenue,board,strong,low risk,innovation,No Fraud
103,Unexpected expenses impacted operational margins.,Internal control weaknesses exist in reporting.,"Acknowledging setbacks, corrective actions implemented.",liabilities,committee,improving,uncertain,cost-cutting,No Fraud
104,Liquidity pressure due to increased operational costs.,Management acknowledges compliance challenges.,Future outlook is cautiously optimistic.,assets,oversight,stable,uncertain,expansion,No Fraud
105,Unexpected expenses impacted operational margins.,Management acknowledges compliance challenges.,"Acknowledging setbacks, corrective actions implemented.",revenue,committee,declining,uncertain,diversification,No Fraud
106,Management highlighted governance improvements.,Market volatility poses potential risks.,Resilience guided our strategy through challenges.,profit,committee,declining,volatile,diversification,No Fraud
107,Unexpected expenses impacted operational margins.,Operational and compliance risks may affect outcomes.,Focus remains on ethical conduct and stakeholder trust.,assets,committee,volatile,critical,restructuring,No Fraud
108,Management highlighted governance improvements.,Market volatility poses potential risks.,Resilience guided our strategy through challenges.,liabilities,oversight,declining,medium risk,cost-cutting,No Fraud
109,Liquidity pressure due to increased operational costs.,Debt obligations create financial uncertainty.,We remain committed to transparency and value creation.,assets,oversight,declining,critical,innovation,No Fraud
110,Revenue growth achieved through strategic initiatives.,Internal control weaknesses exist in reporting.,"Acknowledging setbacks, corrective actions implemented.",profit,committee,weak,uncertain,expansion,No Fraud
111,Revenue growth achieved through strategic initiatives.,Internal control weaknesses exist in reporting.,Focus remains on ethical conduct and stakeholder trust.,debt,audit,stable,low risk,restructuring,No Fraud
112,Unexpected expenses impacted operational margins.,Management acknowledges compliance challenges.,Resilience guided our strategy through challenges.,debt,committee,weak,critical,diversification,No Fraud
113,Management highlighted governance improvements.,Internal control weaknesses exist in reporting.,Focus remains on ethical conduct and stakeholder trust.,cash flow,board,declining,volatile,diversification,No Fraud
114,The company reported stable performance this year.,Operational and compliance risks may affect outcomes.,We remain committed to transparency and value creation.,debt,oversight,declining,uncertain,diversification,No Fraud
115,The company reported stable performance this year.,Operational and compliance risks may affect outcomes.,We remain committed to transparency and value creation.,revenue,compliance,stable,high risk,innovation,No Fraud
116,The company reported stable performance this year.,Management acknowledges compliance challenges.,"Acknowledging setbacks, corrective actions implemented.",profit,oversight,declining,volatile,innovation,No Fraud
117,Revenue growth achieved through strategic initiatives.,Management acknowledges compliance challenges.,Focus remains on ethical conduct and stakeholder trust.,debt,committee,volatile,volatile,innovation,No Fraud
118,Revenue growth achieved through strategic initiatives.,Debt obligations create financial uncertainty.,Resilience guided our strategy through challenges.,assets,oversight,strong,medium risk,innovation,No Fraud
119,Management highlighted governance improvements.,Management acknowledges compliance challenges.,Resilience guided our strategy through challenges.,liabilities,committee,stable,high risk,innovation,No Fraud
120,Unexpected expenses impacted operational margins.,Market volatility poses potential risks.,Future outlook is cautiously optimistic.,profit,compliance,strong,critical,diversification,No Fraud
121,The company reported stable performance this year.,Market volatility poses potential risks.,Resilience guided our strategy through challenges.,debt,compliance,improving,critical,expansion,No Fraud
122,Management highlighted governance improvements.,Market volatility poses potential risks.,"Acknowledging setbacks, corrective actions implemented.",revenue,compliance,improving,volatile,diversification,No Fraud
123,Management highlighted governance improvements.,Operational and compliance risks may affect outcomes.,We remain committed to transparency and value creation.,cash flow,board,volatile,volatile,innovation,No Fraud
124,Unexpected expenses impacted operational margins.,Internal control weaknesses exist in reporting.,Resilience guided our strategy through challenges.,cash flow,board,volatile,medium risk,cost-cutting,No Fraud
125,Management highlighted governance improvements.,Debt obligations create financial uncertainty.,Future outlook is cautiously optimistic.,liabilities,committee,improving,low risk,diversification,No Fraud
126,Unexpected expenses impacted operational margins.,Management acknowledges compliance challenges.,"Acknowledging setbacks, corrective actions implemented.",liabilities,board,declining,critical,expansion,Fraud
127,Liquidity pressure due to increased operational costs.,Debt obligations create financial uncertainty.,"Acknowledging setbacks, corrective actions implemented.",liabilities,audit,declining,critical,diversification,No Fraud
128,Unexpected expenses impacted operational margins.,Operational and compliance risks may affect outcomes.,"Acknowledging setbacks, corrective actions implemented.",profit,compliance,weak,critical,innovation,No Fraud
129,The company reported stable performance this year.,Management acknowledges compliance challenges.,"Acknowledging setbacks, corrective actions implemented.",liabilities,compliance,improving,critical,innovation,Fraud
130,The company reported stable performance this year.,Management acknowledges compliance challenges.,"Acknowledging setbacks, corrective actions implemented.",liabilities,committee,improving,critical,cost-cutting,No Fraud
131,Unexpected expenses impacted operational margins.,Operational and compliance risks may affect outcomes.,"Acknowledging setbacks, corrective actions implemented.",revenue,board,declining,low risk,restructuring,Fraud
132,Liquidity pressure due to increased operational costs.,Internal control weaknesses exist in reporting.,We remain committed to transparency and value creation.,revenue,compliance,strong,high risk,cost-cutting,No Fraud
133,Liquidity pressure due to increased operational costs.,Management acknowledges compliance challenges.,We remain committed to transparency and value creation.,revenue,oversight,weak,medium risk,restructuring,Fraud
134,The company reported stable performance this year.,Internal control weaknesses exist in reporting.,Future outlook is cautiously optimistic.,liabilities,board,strong,uncertain,cost-cutting,No Fraud
135,Liquidity pressure due to increased operational costs.,Operational and compliance risks may affect outcomes.,Resilience guided our strategy through challenges.,debt,oversight,improving,medium risk,expansion,No Fraud
136,Management highlighted governance improvements.,Debt obligations create financial uncertainty.,Focus remains on ethical conduct and stakeholder trust.,liabilities,compliance,strong,uncertain,restructuring,No Fraud
137,Revenue growth achieved through strategic initiatives.,Management acknowledges compliance challenges.,We remain committed to transparency and value creation.,cash flow,compliance,stable,low risk,restructuring,Fraud
138,Management highlighted governance improvements.,Internal control weaknesses exist in reporting.,Focus remains on ethical conduct and stakeholder trust.,revenue,oversight,weak,high risk,diversification,No Fraud
139,The company reported stable performance this year.,Management acknowledges compliance challenges.,Future outlook is cautiously optimistic.,assets,compliance,declining,critical,cost-cutting,No Fraud
140,Liquidity pressure due to increased operational costs.,Internal control weaknesses exist in reporting.,Resilience guided our strategy through challenges.,liabilities,board,volatile,uncertain,restructuring,No Fraud
141,Unexpected expenses impacted operational margins.,Management acknowledges compliance challenges.,We remain committed to transparency and value creation.,debt,audit,weak,low risk,restructuring,No Fraud
142,Revenue growth achieved through strategic initiatives.,Management acknowledges compliance challenges.,We remain committed to transparency and value creation.,liabilities,audit,improving,volatile,expansion,No Fraud
143,Unexpected expenses impacted operational margins.,Management acknowledges compliance challenges.,Resilience guided our strategy through challenges.,assets,audit,strong,critical,expansion,No Fraud
144,The company reported stable performance this year.,Debt obligations create financial uncertainty.,Resilience guided our strategy through challenges.,assets,compliance,strong,high risk,innovation,No Fraud
145,Liquidity pressure due to increased operational costs.,Management acknowledges compliance challenges.,Focus remains on ethical conduct and stakeholder trust.,profit,committee,weak,uncertain,expansion,No Fraud
146,Unexpected expenses impacted operational margins.,Internal control weaknesses exist in reporting.,Focus remains on ethical conduct and stakeholder trust.,debt,board,stable,medium risk,diversification,Fraud
147,Unexpected expenses impacted operational margins.,Debt obligations create financial uncertainty.,Resilience guided our strategy through challenges.,assets,board,volatile,critical,diversification,No Fraud
148,Revenue growth achieved through strategic initiatives.,Market volatility poses potential risks.,We remain committed to transparency and value creation.,debt,compliance,stable,uncertain,restructuring,Fraud
149,Revenue growth achieved through strategic initiatives.,Internal control weaknesses exist in reporting.,"Acknowledging setbacks, corrective actions implemented.",revenue,board,weak,critical,expansion,No Fraud
150,Liquidity pressure due to increased operational costs.,Internal control weaknesses exist in reporting.,Future outlook is cautiously optimistic.,profit,compliance,weak,volatile,expansion,No Fraud
151,Revenue growth achieved through strategic initiatives.,Market volatility poses potential risks.,Future outlook is cautiously optimistic.,cash flow,audit,volatile,high risk,restructuring,Fraud
152,Unexpected expenses impacted operational margins.,Debt obligations create financial uncertainty.,Focus remains on ethical conduct and stakeholder trust.,assets,board,weak,high risk,cost-cutting,Fraud
153,Unexpected expenses impacted operational margins.,Management acknowledges compliance challenges.,Resilience guided our strategy through challenges.,liabilities,committee,declining,medium risk,diversification,No Fraud
154,The company reported stable performance this year.,Internal control weaknesses exist in reporting.,We remain committed to transparency and value creation.,profit,compliance,strong,critical,restructuring,No Fraud
155,Unexpected expenses impacted operational margins.,Market volatility poses potential risks.,We remain committed to transparency and value creation.,profit,board,weak,medium risk,cost-cutting,Fraud
156,Liquidity pressure due to increased operational costs.,Management acknowledges compliance challenges.,Focus remains on ethical conduct and stakeholder trust.,profit,oversight,declining,uncertain,cost-cutting,No Fraud
157,Management highlighted governance improvements.,Debt obligations create financial uncertainty.,Focus remains on ethical conduct and stakeholder trust.,profit,oversight,improving,critical,restructuring,No Fraud
158,The company reported stable performance this year.,Internal control weaknesses exist in reporting.,"Acknowledging setbacks, corrective actions implemented.",liabilities,committee,volatile,volatile,innovation,No Fraud
159,The company reported stable performance this year.,Management acknowledges compliance challenges.,Future outlook is cautiously optimistic.,revenue,committee,declining,medium risk,cost-cutting,Fraud
160,Liquidity pressure due to increased operational costs.,Management acknowledges compliance challenges.,Future outlook is cautiously optimistic.,debt,oversight,stable,volatile,diversification,No Fraud
161,Liquidity pressure due to increased operational costs.,Operational and compliance risks may affect outcomes.,Future outlook is cautiously optimistic.,cash flow,compliance,weak,uncertain,cost-cutting,No Fraud
162,Revenue growth achieved through strategic initiatives.,Market volatility poses potential risks.,Focus remains on ethical conduct and stakeholder trust.,cash flow,board,stable,medium risk,diversification,No Fraud
163,The company reported stable performance this year.,Management acknowledges compliance challenges.,"Acknowledging setbacks, corrective actions implemented.",liabilities,oversight,stable,low risk,diversification,No Fraud
164,Revenue growth achieved through strategic initiatives.,Debt obligations create financial uncertainty.,Resilience guided our strategy through challenges.,debt,committee,declining,medium risk,innovation,No Fraud
165,Unexpected expenses impacted operational margins.,Operational and compliance risks may affect outcomes.,Focus remains on ethical conduct and stakeholder trust.,cash flow,board,strong,medium risk,cost-cutting,Fraud
166,The company reported stable performance this year.,Management acknowledges compliance challenges.,"Acknowledging setbacks, corrective actions implemented.",liabilities,compliance,improving,critical,restructuring,No Fraud
167,The company reported stable performance this year.,Management acknowledges compliance challenges.,Focus remains on ethical conduct and stakeholder trust.,profit,oversight,volatile,volatile,cost-cutting,No Fraud
168,Management highlighted governance improvements.,Debt obligations create financial uncertainty.,Resilience guided our strategy through challenges.,revenue,committee,declining,high risk,expansion,Fraud
169,The company reported stable performance this year.,Operational and compliance risks may affect outcomes.,Resilience guided our strategy through challenges.,profit,oversight,stable,low risk,expansion,No Fraud
170,Unexpected expenses impacted operational margins.,Operational and compliance risks may affect outcomes.,"Acknowledging setbacks, corrective actions implemented.",profit,compliance,strong,low risk,expansion,Fraud
171,Revenue growth achieved through strategic initiatives.,Market volatility poses potential risks.,We remain committed to transparency and value creation.,revenue,committee,weak,high risk,restructuring,No Fraud
172,Revenue growth achieved through strategic initiatives.,Management acknowledges compliance challenges.,Resilience guided our strategy through challenges.,assets,board,declining,low risk,expansion,No Fraud
173,Management highlighted governance improvements.,Market volatility poses potential risks.,Resilience guided our strategy through challenges.,cash flow,oversight,stable,low risk,restructuring,No Fraud
174,Unexpected expenses impacted operational margins.,Operational and compliance risks may affect outcomes.,Resilience guided our strategy through challenges.,revenue,board,stable,volatile,innovation,Fraud
175,Revenue growth achieved through strategic initiatives.,Market volatility poses potential risks.,Resilience guided our strategy through challenges.,debt,audit,weak,high risk,innovation,Fraud
176,Liquidity pressure due to increased operational costs.,Debt obligations create financial uncertainty.,We remain committed to transparency and value creation.,debt,compliance,weak,critical,expansion,No Fraud
177,Unexpected expenses impacted operational margins.,Internal control weaknesses exist in reporting.,Future outlook is cautiously optimistic.,debt,oversight,improving,uncertain,cost-cutting,No Fraud
178,Unexpected expenses impacted operational margins.,Debt obligations create financial uncertainty.,Future outlook is cautiously optimistic.,assets,committee,strong,critical,diversification,Fraud
179,Management highlighted governance improvements.,Operational and compliance risks may affect outcomes.,Resilience guided our strategy through challenges.,revenue,compliance,declining,uncertain,diversification,No Fraud
